date,code,weight
2023-06-08,1431,0.09396296996408425
2023-06-08,3040,0.11527364619501955
2023-06-08,6284,0.308457612448141
2023-06-08,9621,0.2422920418254355
2023-06-08,9755,0.24001372956731964
2023-06-09,1431,0.09610023634931217
2023-06-09,3040,0.11374058137890633
2023-06-09,6284,0.3085015049592954
2023-06-09,9621,0.2409752944266004
2023-06-09,9755,0.2406823828858857
2023-06-12,3040,0.0979904606182807
2023-06-12,6284,0.2613629624609233
2023-06-12,9621,0.20962071214958022
2023-06-12,9692,0.22871218346789565
2023-06-12,9755,0.20231368130332014
2023-06-13,3040,0.09465340629760072
2023-06-13,6284,0.25420498230965755
2023-06-13,9621,0.20026757146656565
2023-06-13,9692,0.25499883138967916
2023-06-13,9755,0.1958752085364969
2023-06-14,3040,0.09361510648126026
2023-06-14,6284,0.2524250967649448
2023-06-14,9621,0.19620984055685636
2023-06-14,9692,0.25887609308548765
2023-06-14,9755,0.19887386311145092
2023-06-15,3040,0.09160160870593802
2023-06-15,6284,0.24630943931866572
2023-06-15,9621,0.1953946849617538
2023-06-15,9692,0.26744736219541043
2023-06-15,9755,0.199246904818232
2023-06-16,3040,0.09099655223868876
2023-06-16,6284,0.24530546851070847
2023-06-16,9621,0.1959883451531073
2023-06-16,9692,0.2685719671088283
2023-06-16,9755,0.19913766698866717
2023-06-19,3040,0.0968791167795563
2023-06-19,6284,0.2451434145128259
2023-06-19,9621,0.19422844507657452
2023-06-19,9692,0.26797393240612283
2023-06-19,9755,0.19577509122492043
2023-06-20,3040,0.09802362033645788
2023-06-20,6284,0.24415311316655286
2023-06-20,9621,0.19584161027996771
2023-06-20,9692,0.2624386988639891
2023-06-20,9755,0.19954295735303246
2023-06-21,3040,0.09769111294846732
2023-06-21,6284,0.24491357127954688
2023-06-21,9621,0.19802879154335346
2023-06-21,9692,0.25887275621459976
2023-06-21,9755,0.2004937680140326
2023-06-22,3040,0.09438892861974989
2023-06-22,6284,0.24682528944469143
2023-06-22,9621,0.19813672999980672
2023-06-22,9692,0.2594506832634285
2023-06-22,9755,0.2011983686723235
2023-06-23,3040,0.09614146663047272
2023-06-23,6284,0.24701206034048165
2023-06-23,9621,0.19958894016364834
2023-06-23,9692,0.2547291270795362
2023-06-23,9755,0.2025284057858611
2023-06-26,3040,0.09861829045382181
2023-06-26,6284,0.24555907152263212
2023-06-26,9621,0.19814068672733348
2023-06-26,9692,0.2506692348513139
2023-06-26,9755,0.2070127164448987
2023-06-27,3040,0.10010307379378187
2023-06-27,6284,0.24422218477251262
2023-06-27,9621,0.19699243994873744
2023-06-27,9692,0.25389858008990546
2023-06-27,9755,0.20478372139506265
